,Unnamed: 0,File directory,File name,Dimension(filtered),N(sample),N(filtered feature),Repetition Rate,File directory(CEB server/Iris),,"In RegPA, experiments were done in two times, once with  50<=size<=300, once with 300<=size<=500. One of datasets of size 300 got double counted. 8 datasets got replaced with other datasets with the same last 8 digit in filenames. Hence, there are 704 datasets for RegPA results.",
1584,1584,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1293224.csv,data_CHEMBL1293224.csv,"(30, 91)",30,91,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1293224.csv,,,
1592,1592,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3422.csv,data_CHEMBL3422.csv,"(30, 77)",30,77,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3422.csv,,,
1637,1637,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1988.csv,data_CHEMBL1988.csv,"(30, 56)",30,56,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1988.csv,,,
1648,1648,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2305.csv,data_CHEMBL2305.csv,"(30, 63)",30,63,0.133333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2305.csv,,,
1654,1654,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5867.csv,data_CHEMBL5867.csv,"(30, 29)",30,29,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5867.csv,,,
1708,1708,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1075134.csv,data_CHEMBL1075134.csv,"(30, 52)",30,52,0.133333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1075134.csv,,,
1755,1755,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4401.csv,data_CHEMBL4401.csv,"(30, 33)",30,33,0.1,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4401.csv,,,
2010,2010,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1275217.csv,data_CHEMBL1275217.csv,"(30, 47)",30,47,0.1,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1275217.csv,,,
2046,2046,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1972.csv,data_CHEMBL1972.csv,"(30, 67)",30,67,0.433333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1972.csv,,,
2078,2078,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2095232.csv,data_CHEMBL2095232.csv,"(30, 170)",30,170,0.3,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2095232.csv,,,
50,50,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5270.csv,data_CHEMBL5270.csv,"(31, 54)",31,54,0.032258065,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5270.csv,,,
160,160,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1921662.csv,data_CHEMBL1921662.csv,"(31, 29)",31,29,0.290322581,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1921662.csv,,,
208,208,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4838.csv,data_CHEMBL4838.csv,"(31, 69)",31,69,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4838.csv,,,
290,290,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL6169.csv,data_CHEMBL6169.csv,"(31, 60)",31,60,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL6169.csv,,,
385,385,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1275209.csv,data_CHEMBL1275209.csv,"(31, 120)",31,120,0.161290323,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1275209.csv,,,
529,529,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3412.csv,data_CHEMBL3412.csv,"(31, 63)",31,63,0.129032258,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3412.csv,,,
532,532,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2146300.csv,data_CHEMBL2146300.csv,"(31, 137)",31,137,0.548387097,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2146300.csv,,,
618,618,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3528.csv,data_CHEMBL3528.csv,"(31, 74)",31,74,0.35483871,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3528.csv,,,
634,634,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1854.csv,data_CHEMBL1854.csv,"(31, 78)",31,78,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1854.csv,,,
862,862,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2111358.csv,data_CHEMBL2111358.csv,"(31, 93)",31,93,0.419354839,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2111358.csv,,,
1038,1038,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL6093.csv,data_CHEMBL6093.csv,"(31, 70)",31,70,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL6093.csv,,,
1092,1092,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2111425.csv,data_CHEMBL2111425.csv,"(31, 83)",31,83,0.096774194,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2111425.csv,,,
1154,1154,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2992.csv,data_CHEMBL2992.csv,"(31, 43)",31,43,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2992.csv,,,
1218,1218,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1743127.csv,data_CHEMBL1743127.csv,"(31, 201)",31,201,0.129032258,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1743127.csv,,,
1248,1248,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3873.csv,data_CHEMBL3873.csv,"(31, 68)",31,68,0.677419355,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3873.csv,,,
1265,1265,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3480.csv,data_CHEMBL3480.csv,"(31, 83)",31,83,0.032258065,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3480.csv,,,
1275,1275,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3325.csv,data_CHEMBL3325.csv,"(31, 91)",31,91,0.096774194,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3325.csv,,,
1318,1318,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2601.csv,data_CHEMBL2601.csv,"(31, 42)",31,42,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2601.csv,,,
1328,1328,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3255.csv,data_CHEMBL3255.csv,"(31, 59)",31,59,0.419354839,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3255.csv,,,
1333,1333,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1250381.csv,data_CHEMBL1250381.csv,"(31, 68)",31,68,0.64516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1250381.csv,,,
1381,1381,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5989.csv,data_CHEMBL5989.csv,"(31, 68)",31,68,0.096774194,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5989.csv,,,
1494,1494,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2997.csv,data_CHEMBL2997.csv,"(31, 42)",31,42,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2997.csv,,,
1518,1518,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1250368.csv,data_CHEMBL1250368.csv,"(31, 71)",31,71,0.258064516,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1250368.csv,,,
1722,1722,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3186.csv,data_CHEMBL3186.csv,"(31, 114)",31,114,0.225806452,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3186.csv,,,
1812,1812,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3226.csv,data_CHEMBL3226.csv,"(31, 64)",31,64,0.096774194,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3226.csv,,,
1889,1889,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1075246.csv,data_CHEMBL1075246.csv,"(31, 53)",31,53,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1075246.csv,,,
1901,1901,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2095153.csv,data_CHEMBL2095153.csv,"(31, 92)",31,92,0.064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2095153.csv,,,
1953,1953,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2111333.csv,data_CHEMBL2111333.csv,"(31, 117)",31,117,0.096774194,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2111333.csv,,,
2026,2026,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5916.csv,data_CHEMBL5916.csv,"(31, 58)",31,58,0.193548387,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5916.csv,,,
112,112,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4609.csv,data_CHEMBL4609.csv,"(32, 71)",32,71,0.125,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4609.csv,,,
210,210,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5298.csv,data_CHEMBL5298.csv,"(32, 75)",32,75,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5298.csv,,,
217,217,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3372.csv,data_CHEMBL3372.csv,"(32, 97)",32,97,0.09375,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3372.csv,,,
267,267,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4636.csv,data_CHEMBL4636.csv,"(32, 71)",32,71,0.15625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4636.csv,,,
395,395,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1255126.csv,data_CHEMBL1255126.csv,"(32, 78)",32,78,0.125,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1255126.csv,,,
434,434,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5465.csv,data_CHEMBL5465.csv,"(32, 88)",32,88,0.09375,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5465.csv,,,
455,455,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3570.csv,data_CHEMBL3570.csv,"(32, 51)",32,51,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3570.csv,,,
474,474,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2687.csv,data_CHEMBL2687.csv,"(32, 25)",32,25,0.15625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2687.csv,,,
576,576,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4963.csv,data_CHEMBL4963.csv,"(32, 59)",32,59,0.25,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4963.csv,,,
648,648,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1075029.csv,data_CHEMBL1075029.csv,"(32, 24)",32,24,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1075029.csv,,,
829,829,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3674.csv,data_CHEMBL3674.csv,"(32, 84)",32,84,0.375,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3674.csv,,,
884,884,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3102.csv,data_CHEMBL3102.csv,"(32, 45)",32,45,0.09375,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3102.csv,,,
1001,1001,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3317.csv,data_CHEMBL3317.csv,"(32, 56)",32,56,0.40625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3317.csv,,,
1315,1315,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1287620.csv,data_CHEMBL1287620.csv,"(32, 150)",32,150,0.625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1287620.csv,,,
1368,1368,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1795148.csv,data_CHEMBL1795148.csv,"(32, 47)",32,47,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1795148.csv,,,
1439,1439,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL6110.csv,data_CHEMBL6110.csv,"(32, 49)",32,49,0.125,/home/iris/PA/qsar_data_unsorted/data_CHEMBL6110.csv,,,
1460,1460,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1075025.csv,data_CHEMBL1075025.csv,"(32, 63)",32,63,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1075025.csv,,,
1557,1557,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2094114.csv,data_CHEMBL2094114.csv,"(32, 73)",32,73,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2094114.csv,,,
1617,1617,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3345.csv,data_CHEMBL3345.csv,"(32, 57)",32,57,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3345.csv,,,
1731,1731,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3421.csv,data_CHEMBL3421.csv,"(32, 159)",32,159,0.4375,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3421.csv,,,
1814,1814,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2672.csv,data_CHEMBL2672.csv,"(32, 67)",32,67,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2672.csv,,,
1865,1865,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4820.csv,data_CHEMBL4820.csv,"(32, 48)",32,48,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4820.csv,,,
1977,1977,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3751.csv,data_CHEMBL3751.csv,"(32, 91)",32,91,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3751.csv,,,
2083,2083,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2331070.csv,data_CHEMBL2331070.csv,"(32, 46)",32,46,0.0625,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2331070.csv,,,
145,145,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2111472.csv,data_CHEMBL2111472.csv,"(33, 59)",33,59,0.090909091,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2111472.csv,,,
156,156,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2097167.csv,data_CHEMBL2097167.csv,"(33, 80)",33,80,0.272727273,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2097167.csv,,,
288,288,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3777.csv,data_CHEMBL3777.csv,"(33, 103)",33,103,0.272727273,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3777.csv,,,
495,495,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1826.csv,data_CHEMBL1826.csv,"(33, 36)",33,36,0.151515152,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1826.csv,,,
516,516,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2283.csv,data_CHEMBL2283.csv,"(33, 55)",33,55,0.060606061,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2283.csv,,,
610,610,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2034807.csv,data_CHEMBL2034807.csv,"(33, 49)",33,49,0.060606061,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2034807.csv,,,
616,616,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4521.csv,data_CHEMBL4521.csv,"(33, 56)",33,56,0.090909091,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4521.csv,,,
716,716,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL6109.csv,data_CHEMBL6109.csv,"(33, 53)",33,53,1,/home/iris/PA/qsar_data_unsorted/data_CHEMBL6109.csv,,,
740,740,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2029198.csv,data_CHEMBL2029198.csv,"(33, 71)",33,71,0.090909091,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2029198.csv,,,
1004,1004,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5000.csv,data_CHEMBL5000.csv,"(33, 86)",33,86,0.242424242,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5000.csv,,,
1045,1045,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3882.csv,data_CHEMBL3882.csv,"(33, 81)",33,81,0.03030303,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3882.csv,,,
1208,1208,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4259.csv,data_CHEMBL4259.csv,"(33, 52)",33,52,0.393939394,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4259.csv,,,
1281,1281,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1075036.csv,data_CHEMBL1075036.csv,"(33, 29)",33,29,0.151515152,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1075036.csv,,,
1300,1300,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3084.csv,data_CHEMBL3084.csv,"(33, 71)",33,71,0.303030303,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3084.csv,,,
1350,1350,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4664.csv,data_CHEMBL4664.csv,"(33, 74)",33,74,0.090909091,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4664.csv,,,
1452,1452,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3652.csv,data_CHEMBL3652.csv,"(33, 87)",33,87,0.121212121,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3652.csv,,,
1497,1497,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4464.csv,data_CHEMBL4464.csv,"(33, 62)",33,62,0.090909091,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4464.csv,,,
1530,1530,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2111384.csv,data_CHEMBL2111384.csv,"(33, 57)",33,57,0.060606061,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2111384.csv,,,
1544,1544,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3218.csv,data_CHEMBL3218.csv,"(33, 43)",33,43,0.03030303,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3218.csv,,,
1596,1596,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1795139.csv,data_CHEMBL1795139.csv,"(33, 59)",33,59,0.060606061,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1795139.csv,,,
